County_Code,County_Name,County_HQ, Latitude,Longitude,Altitude_Mtrs,Altitude_Ft
1,Mombasa,Mombasa ,-4.04347,39.6682,4,13
2,Kwale,Kwale,-4.18161,39.46056,225,738
3,Kilifi,Kilifi,-3.51065,39.90932,100,328
4,Tana River,Hola,-1.49922,40.03432,64,210
5,Lamu,Lamu,-2.26955,40.90064,13,43
6,Taita Taveta,Mwatate,-3.50329,38.36398,654,2146
7,Garissa,Garissa,-0.45322,39.64601,142,466
8,Wajir,Wajir,1.74883,40.05863,302,991
9,Mandera,Mandera,3.93563,41.85551,513,1683
10,Marsabit,Marsabit,2.33549,37.99434,434,1424
11,Isiolo,Isiolo,0.35563,37.5833,279,915
12,Meru,Meru,0.05147,37.6456,1381,4531
13,Tharaka Nithi,Kathwana,-0.332,37.86867,719,2359
14,Embu,Embu,-0.53883,37.45964,1129,3704
15,Kitui,Kitui,-1.37508,37.99521,555,1821
16,Machakos,Machakos,-1.51768,37.26341,1361,4465
17,Makueni,Wote,-1.78862,37.63333,1129,3704
18,Nyandarua,Ol Kalou,-0.27269,36.37751,2358,7736
19,Nyeri,Nyeri,-0.4371,36.95801,1776,5827
20,Kirinyaga,Kerugoya,-0.49993,37.27848,1562,5125
21,Murang’a,Murang’a,-0.78392,37.04003,1658,5440
22,Kiambu,Kiambu,-1.174813,36.83041,1857,6093
23,Turkana54,Lodwar,3.11551,35.60407,504,1654
24,West Pokot,Kapenguria,1.24819,35.11037,2051,6729
25,Samburu,Maralal,1.09314,36.70183,1944,6378
26,Trans-Nzoia,Kitale,1.01909,35.0023,1880,6168
27,Uasin Gisshu,Eldoret,0.51427,35.26978,2095,6873
28,Elgeyo Marakwet,Iten,0.67323,35.50831,2348,7703
29,Nandi,Kapsabet,0.20295,35.09783,1985,6512
30,Baringo,Karbanet,0.4901,35.74341,1996,6549
31,Laikipia,Rumuruti,0.2725,36.53806,1842,6043
32,Nakuru,Nakuru,-0.30719,36.07225,1857,6093
33,Narok,Narok,-1.08754,35.87706,1852,6076
34,Kajiado,Kajiado,-1.84207,36.79185,1732,5682
35,Kericho,Kericho,-0.36889,35.28628,1997,6552
36,Bomet,Bomet,-0.8015,35.30272,1933,6342
37,Kakamega,Kakamega,0.28273,34.75229,1557,5108
38,Vihiga,Vihiga,0.07675,34.70776,1638,5374
39,Bungoma,Bungoma,0.56952,34.55837,1690,5545
40,Busia,Busia,0.46076,34.11146,1212,3976
41,Siaya,Siaya,0.06262,34.287808,1237,4058
42,Kisumu,Kisumu,-0.0917,34.76795,1134,3720
43,Homa Bay,Homa Bay,-0.53504,34.45309,1173,3748
44,Migori5,Migori,-1.07069,4.47527,1367,4485
45,Kisii,Kisii,-0.67733,34.7796,1634,5361
46,Nyamira,Nyamira,-0.56694,34.93412,2002,6568
47,Nairobi,Nairobi,-1.29206,36.82194,1655,5430
